trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date
490e7063-2e48-4c66-8a32-b505a23ed983,2025-11-17 14:34:00+00:00,2025-11-17 14:37:00+00:00,2025-11-17,2025-11,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A+,608.57,610.45857,610.45857,605.737145,32.0,3.0,0.02,-85.94423999999867,400.0,-0.21486059999999668,2,-0.42972119999999336,-0.42972119999999336,loss,SL,ny,ny_open,0.8020330841245294,A+,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,,,,,,
f2aa5432-5560-4f38-96fd-cdff48b1d87e,2025-11-17 14:35:00+00:00,2025-11-17 14:37:00+00:00,2025-11-17,2025-11,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,SHORT,SCALP,A+,608.84,610.45884,610.45884,605.6023200000001,32.0,2.0,0.02,-77.31287999999927,400.0,-0.19328219999999818,2,-0.38656439999999637,-0.8162855999999897,loss,SL,ny,ny_open,0.6733200442735743,A+,"{'A_plus': 0.6, 'A': 0.35, 'B': 0.25}",0-1,,,,,,
5d847835-63f9-4e9a-b7c5-0846c01ae45f,2025-11-17 14:31:00+00:00,2025-11-17 14:51:00+00:00,2025-11-17,2025-11,SPY,DAY_Aplus_1_Liquidity_Sweep_OB_Retest,LONG,DAILY,A,669.47,673.48682,668.13106,673.48682,22.0,20.0,0.02,68.57003999999866,400.0,0.17142509999999664,2,0.3428501999999933,-0.47343539999999645,win,TP1,ny,ny_open,0.4047409340828717,A,"{'A_plus': 0.5, 'A': 0.3, 'B': 0.2}",0-1,,,,,,
9272b45b-78ab-46e2-91ae-70c30d614107,2025-11-17 14:39:00+00:00,2025-11-17 15:09:00+00:00,2025-11-17,2025-11,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A,610.51,608.28,613.5625499999999,605.9311750000002,24.0,30.0,0.02,33.880000000000436,200.0,0.1694000000000022,2,0.1694000000000022,-0.3040353999999943,win,time_stop,ny,ny_open,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,,,,,,
99cb2e25-6539-4a1f-9aa9-efebae7459cc,2025-11-17 14:39:00+00:00,2025-11-17 15:09:00+00:00,2025-11-17,2025-11,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A,672.62,670.79,675.9830999999999,667.5753500000001,21.0,30.0,0.02,19.44000000000086,200.0,0.09720000000000431,2,0.09720000000000431,-0.20683539999998998,win,time_stop,ny,ny_open,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,,,,,,
b724ef15-dc61-4888-975d-85bb016270c4,2025-11-17 15:05:00+00:00,2025-11-17 15:10:00+00:00,2025-11-17,2025-11,QQQ,Power_Hour_Expansion,SHORT,DAILY,C,609.835,608.7699174999999,611.2748349999999,606.9553300000002,16.0,5.0,0.02,3.291320000002088,200.0,0.016456600000010438,2,0.016456600000010438,-0.19037879999997953,win,SL,ny,ny_open,0.48,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,611.16,605.375,5.784999999999968,LONG,15.0,2025-11-17
174310c0-d3d1-473d-8f6a-f309310bb2fe,2025-11-17 15:25:00+00:00,2025-11-17 15:29:00+00:00,2025-11-17,2025-11,SPY,DAY_Aplus_1_Liquidity_Sweep_OB_Retest,SHORT,DAILY,A,670.89,672.23178,672.23178,666.8646600000001,22.0,4.0,0.02,-49.329159999999376,200.0,-0.2466457999999969,2,-0.2466457999999969,-0.43702459999997645,loss,SL,ny,ny_open,0.3383333333333333,A,"{'A_plus': 0.5, 'A': 0.3, 'B': 0.2}",0-1,672.66,668.955,3.7049999999999272,LONG,15.0,2025-11-17
eec6f616-7364-42d6-8284-d6b682a00812,2025-11-17 15:41:00+00:00,2025-11-17 15:48:00+00:00,2025-11-17,2025-11,SPY,BOS_Scalp_1m,SHORT,SCALP,A,670.33,671.92033,671.92033,667.944505,22.0,7.0,0.02,-54.77725999999988,200.0,-0.27388629999999936,2,-0.27388629999999936,-0.7109108999999758,loss,SL,ny,ny_open,0.4564540993630333,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,672.66,668.955,3.7049999999999272,LONG,15.0,2025-11-17
d272469c-3773-44ec-9c00-d71919622010,2025-11-17 14:30:00+00:00,2025-11-17 16:00:00+00:00,2025-11-17,2025-11,SPY,News_Fade,SHORT,DAILY,A,669.02,670.66,673.8190200000001,654.6229399999995,22.0,90.0,0.02,-55.8499999999997,400.0,-0.13962499999999925,2,-0.2792499999999985,-0.9901608999999743,loss,session_end,ny,ny_open,0.7821428571428571,A,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,
b3c7a80a-5340-451b-9d9c-71a01ef7d482,2025-11-17 16:00:00+00:00,2025-11-17 16:16:00+00:00,2025-11-17,2025-11,SPY,Power_Hour_Expansion,SHORT,DAILY,C,670.66,667.97736,672.00132,667.97736,14.0,16.0,0.02,24.25695999999989,200.0,0.12128479999999944,2,0.12128479999999944,-0.8688760999999748,win,TP1,ny,ny_open,0.51,C,"{'A_plus': 0.8, 'A': 0.7, 'B': 0.6}",0-1,672.66,668.955,3.7049999999999272,LONG,15.0,2025-11-17
