trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
7afd3612-78cc-44a3-9fee-ea1e1622c076,2025-08-18 13:34:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,LONG,SCALP,C,577.555,575.922445,575.922445,580.8201099999998,86.0,18.0,0.02,-202.17972999999236,2000.0,-0.10108986499999618,2,-0.20217972999999237,-0.20217972999999237,loss,SL,ny,ny_open,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,0.027564155572140116,-1.019873756167513
8bc84803-2b6c-49e3-9a86-95a0f8eefc5c,2025-08-18 13:39:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,LONG,SCALP,C,577.335,575.922665,575.922665,580.15967,86.0,13.0,0.02,-183.24080999999867,2000.0,-0.09162040499999934,2,-0.18324080999999867,-0.38542053999999104,loss,SL,ny,ny_open,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,0.1309887526684161,-1.023128365437425
b5880b81-296f-4355-a268-d359d0638ffd,2025-08-18 13:54:00+00:00,2025-08-18 15:54:00+00:00,2025-08-18,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_SAFE,LONG,SCALP,C,576.1775,576.02,573.2966125,583.3797187499999,86.0,120.0,0.02,-75.27500000000235,1000.0,-0.07527500000000235,2,-0.07527500000000235,-0.4606955399999934,loss,time_stop,ny,ny_open,0.27,C,"{'A_plus': 0.75, 'A': 0.55, 'B': 0.35}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.5510454677594987,-0.3250040135201286
61b2d9f0-a381-4aba-b273-1cfea3dbc711,2025-08-19 13:44:00+00:00,2025-08-19 15:14:00+00:00,2025-08-19,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,SHORT,SCALP,C,574.44,571.46722,576.59444,570.1311200000002,86.0,90.0,0.02,194.2790800000049,1000.0,0.1942790800000049,2,0.1942790800000049,-0.26641645999998853,win,SL,ny,ny_open,0.1,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,576.56,573.92,2.6399999999999864,NONE,15.0,2025-08-19,1.8798388444330034,-0.5059319359090828
ae69f379-6535-4594-b236-57962088b873,2025-08-19 13:34:00+00:00,2025-08-19 15:27:00+00:00,2025-08-19,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,SHORT,SCALP,C,574.09,571.9570199999999,577.22404,567.8219200000002,86.0,113.0,0.02,122.03628000000762,1000.0,0.12203628000000762,2,0.12203628000000762,-0.14438017999998093,win,SL,ny,ny_open,0.1,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,1.1805848042782312,-0.4818062309351612
f9f03f09-bc5c-4998-aa42-84056f894b13,2025-08-19 13:49:00+00:00,2025-08-19 15:49:00+00:00,2025-08-19,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,SHORT,SCALP,C,573.68,571.78,577.1336799999999,566.77264,86.0,120.0,0.02,102.02999999999804,1000.0,0.10202999999999804,2,0.10202999999999804,-0.04235017999998289,win,time_stop,ny,ny_open,0.1,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.9526070741933239,-0.5356605128442827
36a9564f-0f22-4a41-9ac4-a7c83a7f2f27,2025-08-20 16:14:00+00:00,2025-08-20 18:14:00+00:00,2025-08-20,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,SHORT,SCALP,A,563.81,563.44,568.36381,554.70238,132.0,120.0,0.02,-42.8400000000144,1000.0,-0.0428400000000144,2,-0.0428400000000144,-0.08519017999999728,loss,time_stop,ny,none,0.585096683461624,A,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,568.45,565.79,2.660000000000082,SHORT,15.0,2025-08-20,0.21959633801146738,-0.39746937180076897
d5727651-af05-40a4-9547-a3e050a99f27,2025-08-20 16:14:00+00:00,2025-08-20 18:14:00+00:00,2025-08-20,2025-08,SPY,Aplus_03_IFVG_Flip_5m_LAB,LONG,SCALP,C,636.32,636.015,634.28868,640.3826400000002,78.0,120.0,0.02,-85.59000000000498,1000.0,-0.08559000000000498,2,-0.08559000000000498,-0.17078018000000228,loss,time_stop,ny,none,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,0.8073567926274272,-0.33968060177620335
ff3f9c24-dacc-4e69-8795-1e53031f19c7,2025-08-20 16:19:00+00:00,2025-08-20 18:19:00+00:00,2025-08-20,2025-08,SPY,Aplus_03_IFVG_Flip_5m_LAB,LONG,SCALP,A,636.755,635.56,624.0199,662.2252,78.0,120.0,0.02,-155.0200000000039,1000.0,-0.1550200000000039,2,-0.1550200000000039,-0.3258001800000062,loss,time_stop,ny,none,0.585096683461624,A,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,0.09462037989493934,-0.09697607400020532
5aea959a-4ed6-4586-88ac-60d3ca40bd51,2025-08-21 14:54:00+00:00,2025-08-21 16:54:00+00:00,2025-08-21,2025-08,QQQ,Aplus_03_IFVG_Flip_5m_LAB,SHORT,SCALP,C,565.29,563.015,568.1164499999999,559.6371000000001,87.0,120.0,0.02,136.76499999999803,1000.0,0.13676499999999803,2,0.13676499999999803,-0.18903518000000818,win,time_stop,ny,ny_open,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,565.08,562.88,2.2000000000000455,SHORT,15.0,2025-08-21,1.0720161333121303,-0.1202922393815715
