trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r,tp_reason,structure_alignment_tf,structure_alignment_last_pivot_type
475d6b30-c387-414f-88a7-4f95f4d02dbb,2025-08-18 13:34:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Aplus_03_v2,LONG,SCALP,C,577.555,575.922445,575.922445,578.0447664999999,86.0,18.0,0.02,-202.17972999999236,2000.0,-0.10108986499999618,2,-0.20217972999999237,-0.20217972999999237,loss,SL,ny,ny_open,0.1,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,0.027564155572140116,-1.019873756167513,fallback_rr_min_floor_binding,k3,low
66075dd2-b8ef-4534-802a-8c316ef931a5,2025-08-18 13:39:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Aplus_03_v2,LONG,SCALP,C,577.335,575.922665,575.922665,577.7587005,86.0,13.0,0.02,-183.24080999999867,2000.0,-0.09162040499999934,2,-0.18324080999999867,-0.38542053999999104,loss,SL,ny,ny_open,0.1,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,0.1309887526684161,-1.023128365437425,fallback_rr_min_floor_binding,k3,low
571a7716-1924-43cf-a294-1860ec5297a0,2025-08-18 13:54:00+00:00,2025-08-18 14:46:00+00:00,2025-08-18,2025-08,QQQ,Aplus_03_v2,SHORT,SCALP,C,576.1775,575.57789675,578.1761775,575.57789675,86.0,52.0,0.02,-10.13412050000234,1000.0,-0.01013412050000234,2,-0.01013412050000234,-0.3955546604999934,loss,TP1,ny,ny_open,0.1,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.34397745509218225,-0.794275214485573,fallback_rr_min_floor_binding,k3,high
6ffce2ae-e86e-43f1-a619-2327c9c55aae,2025-08-19 13:39:00+00:00,2025-08-19 13:52:00+00:00,2025-08-19,2025-08,QQQ,Aplus_03_v2,SHORT,SCALP,C,574.71,574.0149274999999,577.08971,569.9505800000002,86.0,13.0,0.02,-1.7537649999869984,1000.0,-0.0017537649999869985,2,-0.0017537649999869985,-0.39730842549998036,loss,SL,ny,ny_open,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,0.5420828588357886,-0.3739951506696244,fallback_rr_no_pool,k3,high
657c5494-65f0-4008-8d50-2dfd37c3f699,2025-08-19 13:34:00+00:00,2025-08-19 14:46:00+00:00,2025-08-19,2025-08,QQQ,Aplus_03_v2,SHORT,SCALP,C,574.09,572.2797724999999,577.0890899999999,568.0918200000002,86.0,72.0,0.02,94.25956500000946,1000.0,0.09425956500000945,2,0.09425956500000945,-0.30304886049997093,win,SL,ny,ny_open,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,,,,,,,0.853592256317795,-0.5034860574374348,fallback_rr_no_pool,k3,high
c162137a-b6a4-401a-a145-24756f97c35f,2025-08-19 14:29:00+00:00,2025-08-19 15:14:00+00:00,2025-08-19,2025-08,QQQ,Aplus_03_v2,SHORT,SCALP,C,573.095,571.39952375,577.1330949999999,565.0188100000003,86.0,45.0,0.02,84.500957500006,1000.0,0.084500957500006,2,0.084500957500006,-0.21854790299996493,win,SL,ny,ny_open,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.6698703225159681,-0.18696935064678197,fallback_rr_no_pool,k3,high
7e4379d5-6b54-41ef-b774-f36fa108ec24,2025-08-20 16:19:00+00:00,2025-08-20 18:19:00+00:00,2025-08-20,2025-08,SPY,Aplus_03_v2,LONG,SCALP,A,636.755,635.56,624.0199,640.57553,78.0,120.0,0.02,-155.0200000000039,1000.0,-0.1550200000000039,2,-0.1550200000000039,-0.37356790299996884,loss,time_stop,ny,none,0.585096683461624,A,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,0.09462037989493934,-0.09697607400020532,fallback_rr_min_floor_binding,k3,low
d573ae5d-ad2b-41c7-8cec-add781c81d6f,2025-08-21 15:24:00+00:00,2025-08-21 15:50:00+00:00,2025-08-21,2025-08,QQQ,Aplus_03_v2,SHORT,SCALP,C,564.79,563.942815,567.6139499999999,563.942815,87.0,26.0,0.02,12.52509499999718,1000.0,0.01252509499999718,2,0.01252509499999718,-0.3610428079999717,win,TP1,ny,none,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,565.08,562.88,2.2000000000000455,SHORT,15.0,2025-08-21,0.3558844880398048,-0.15226898493247704,fallback_rr_min_floor_binding,k3,high
15a18a58-e328-4184-a5e1-f9f27c44108b,2025-08-21 15:34:00+00:00,2025-08-21 15:50:00+00:00,2025-08-21,2025-08,QQQ,Aplus_03_v2,SHORT,SCALP,C,564.93,564.082605,567.7546499999999,564.082605,87.0,16.0,0.02,12.533365000000515,1000.0,0.012533365000000515,2,0.012533365000000515,-0.34850944299997116,win,TP1,ny,none,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,565.08,562.88,2.2000000000000455,SHORT,15.0,2025-08-21,0.4053599561007629,-0.10266758713472005,fallback_rr_min_floor_binding,k3,high
f51a41fc-16af-42fc-9412-5ff67976cb15,2025-08-21 15:24:00+00:00,2025-08-21 15:53:00+00:00,2025-08-21,2025-08,SPY,Aplus_03_v2,SHORT,SCALP,C,637.03,636.074455,640.2151499999999,636.074455,77.0,29.0,0.02,12.486965000002243,1000.0,0.012486965000002244,2,0.012486965000002244,-0.3360224779999689,win,TP1,ny,none,0.18000000000000002,C,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,636.51,635.25,1.259999999999991,SHORT,15.0,2025-08-21,0.3547713608464368,-0.1758158956407313,fallback_rr_min_floor_binding,k3,high
ea01a361-8611-4cee-8119-e313d51e2715,2025-08-22 17:14:00+00:00,2025-08-22 19:14:00+00:00,2025-08-22,2025-08,SPY,Aplus_03_v2,LONG,SCALP,B,645.6554,645.33,639.0743446,647.62971662,76.0,120.0,0.02,-85.85039999999583,1000.0,-0.08585039999999583,2,-0.08585039999999583,-0.42187287799996476,loss,time_stop,ny,none,0.44383551430979706,B,"{'A_plus': 0.7, 'A': 0.5, 'B': 0.3}",0-1,639.43,637.25,2.17999999999995,LONG,15.0,2025-08-22,0.11314294664652039,-0.07071814043685663,fallback_rr_min_floor_binding,k3,low
