trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
6ca86b08-01db-49ab-abf1-7ad593e3fed3,2025-06-16 13:59:00+00:00,2025-06-16 14:29:00+00:00,2025-06-16,2025-06,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,603.05,604.07,604.2561,601.2408499999999,82.0,30.0,0.02,-145.30000000000783,2000.0,-0.07265000000000392,2,-0.14530000000000784,-0.14530000000000784,loss,time_stop,ny,ny_open,0.44000000000000006,C,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,601.705,600.22,1.4850000000000136,LONG,15.0,2025-06-16,0.11607661056296101,-0.945195257441429
451b5a15-88a1-47f5-b2b5-9cbd08a7681b,2025-06-16 13:34:00+00:00,2025-06-16 15:34:00+00:00,2025-06-16,2025-06,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,601.53,603.46,589.4993999999999,625.5912000000001,166.0,120.0,0.02,197.82000000001057,2000.0,0.09891000000000529,2,0.19782000000001057,0.05252000000000273,win,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.2427144115837997,-0.036157797616074315
e3646959-0aa1-4ff5-8689-e3c939ff5185,2025-06-16 13:34:00+00:00,2025-06-16 15:34:00+00:00,2025-06-16,2025-06,QQQ,Engulfing_Bar_V056,LONG,SCALP,A+,531.83,534.69,526.48817,542.5136600000002,188.0,120.0,0.02,414.84000000000253,2000.0,0.20742000000000127,2,0.41484000000000254,0.46736000000000527,win,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.6626942452305512,-0.09547289973660411
ef4012b4-14ac-4b25-82eb-97dcb4873d58,2025-06-16 15:54:00+00:00,2025-06-16 16:24:00+00:00,2025-06-16,2025-06,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,603.24,603.2979,591.1752,621.3371999999999,82.0,30.0,0.02,-56.882199999998534,1000.0,-0.05688219999999854,2,-0.05688219999999854,0.4104778000000067,loss,time_stop,ny,none,0.44000000000000006,C,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,601.705,600.22,1.4850000000000136,LONG,15.0,2025-06-16,0.034812015118357485,-0.03895630263245372
59b86f32-feb8-4d3c-99c4-e86d305fb80a,2025-06-16 16:04:00+00:00,2025-06-16 16:34:00+00:00,2025-06-16,2025-06,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A+,534.16,534.04,535.2283199999999,532.5575200000001,188.0,30.0,0.02,-100.46999999999915,1000.0,-0.10046999999999914,2,-0.10046999999999914,0.3100078000000076,loss,time_stop,ny,none,0.79,A+,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,532.48,530.45,2.0299999999999727,LONG,15.0,2025-06-16,0.27613449153808495,-0.5429084918377044
fcd91be0-df46-41d6-bb7b-5188ae5be760,2025-06-16 13:35:00+00:00,2025-06-16 17:35:00+00:00,2025-06-16,2025-06,SPY,BOS_Scalp_1m,LONG,SCALP,A+,601.37,603.29,589.3426,619.4111,166.0,240.0,0.02,196.2199999999932,2000.0,0.0981099999999966,2,0.1962199999999932,0.5062278000000008,win,time_stop,ny,ny_open,0.6268404096050804,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.2560819462227935,-0.022864459484175797
710b917b-7606-4a45-9c5a-2900e52ec15d,2025-06-16 13:35:00+00:00,2025-06-16 17:35:00+00:00,2025-06-16,2025-06,QQQ,BOS_Scalp_1m,LONG,SCALP,A+,531.73,534.577,526.4882699999999,539.5925950000001,188.0,240.0,0.02,412.41599999999625,2000.0,0.20620799999999812,2,0.41241599999999623,0.918643799999997,win,time_stop,ny,ny_open,0.5608454263759057,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.6944272215470721,-0.07821845077864795
2ae8c097-5bd7-4490-aae6-420b8cf06b78,2025-06-16 13:40:00+00:00,2025-06-16 17:40:00+00:00,2025-06-16,2025-06,QQQ,BOS_Scalp_1m,LONG,SCALP,A+,532.06,534.57,526.48794,540.4180899999999,187.0,240.0,0.02,347.15000000001953,2000.0,0.17357500000000978,2,0.34715000000001955,1.2657938000000166,win,time_stop,ny,ny_open,0.6547733165399605,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.5940352401086995,-0.08614408315773835
8c133c69-207b-4690-b4f5-18c890977c4a,2025-06-16 14:04:00+00:00,2025-06-16 23:32:00+00:00,2025-06-16,2025-06,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,603.435,599.81439,604.6418699999999,599.81439,82.0,568.0,0.02,235.43001999999527,2000.0,0.11771500999999764,2,0.23543001999999527,1.5012238200000119,win,TP1,ny,ny_open,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,601.705,600.22,1.4850000000000136,LONG,15.0,2025-06-16,3.053352888049255,-0.8410185024071493
745cf865-5094-4beb-96cb-90ba10ee5c13,2025-06-17 13:39:00+00:00,2025-06-17 13:44:00+00:00,2025-06-17,2025-06,QQQ,BOS_Scalp_1m,LONG,SCALP,A,532.19,530.96781,530.96781,534.0232850000002,145.0,5.0,0.02,-272.12755000000993,1000.0,-0.27212755000000993,2,-0.27212755000000993,1.2290962700000019,loss,SL,ny,ny_open,0.227828225401765,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.1472766100196695,-1.0636644056979645
