trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
784425c5-9572-44e1-aa46-a5934848183f,2025-10-06 14:29:00+00:00,2025-10-06 14:59:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,B,670.515,670.7601,671.85603,668.5034549999999,74.0,30.0,0.02,-79.94739999999848,2000.0,-0.03997369999999924,2,-0.07994739999999848,-0.07994739999999848,loss,time_stop,ny,ny_open,0.5975,B,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.275907324966624,-0.2535364607801616
ef3adb5e-6b9f-416d-91c1-f6cc5fb50f74,2025-10-06 13:30:00+00:00,2025-10-06 15:00:00+00:00,2025-10-06,2025-10,QQQ,News_Fade,SHORT,DAILY,A,608.07,606.93,609.28614,604.4215800000001,123.0,90.0,0.02,48.14000000001232,2000.0,0.02407000000000616,2,0.04814000000001232,-0.031807399999986156,win,session_end,ny,ny_open,0.7937500000000001,A,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,,1.7267748778923726,-0.45126383475579834
a88e36e1-920f-468f-963d-2d9362205473,2025-10-06 14:49:00+00:00,2025-10-06 15:19:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,C,670.79,671.09,657.3742,690.9137,74.0,30.0,0.02,-39.639999999994956,2000.0,-0.01981999999999748,2,-0.03963999999999496,-0.07144739999998112,loss,time_stop,ny,ny_open,0.36,C,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.02907020080800151,-0.02459786222215056
5854fcc4-5246-42fe-b9ee-e080cf99bb58,2025-10-06 14:54:00+00:00,2025-10-06 15:24:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,C,670.615,671.105,671.95623,668.603155,74.0,30.0,0.02,-98.09000000000067,2000.0,-0.04904500000000034,2,-0.09809000000000068,-0.1695373999999818,loss,time_stop,ny,ny_open,0.36,C,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.11556556295338845,-0.4361668021145055
4dc8fec5-286b-438d-b84c-0f2f56bc8db9,2025-10-06 13:33:00+00:00,2025-10-06 15:33:00+00:00,2025-10-06,2025-10,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A,671.04,671.27,657.6192,697.8815999999999,111.0,120.0,0.02,-66.26999999999799,2000.0,-0.033134999999999,2,-0.066269999999998,-0.2358073999999798,loss,time_stop,ny,ny_open,0.5566420701460476,A,"{'A_plus': 0.6, 'A': 0.35, 'B': 0.25}",0-1,,,,,,,0.0249612541726303,-0.11810026227944119
80082126-34da-44b2-927b-ac2054518e58,2025-10-06 13:36:00+00:00,2025-10-06 15:36:00+00:00,2025-10-06,2025-10,QQQ,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A,607.51,607.54,602.79999,616.93002,123.0,120.0,0.02,-88.37000000000336,2000.0,-0.04418500000000168,2,-0.08837000000000336,-0.3241773999999832,loss,time_stop,ny,ny_open,0.5641420701460477,A,"{'A_plus': 0.6, 'A': 0.35, 'B': 0.25}",0-1,,,,,,,0.09129492294072893,-0.3269632123923219
a25eb2b4-509c-4710-a676-197904b3ce2d,2025-10-06 13:40:00+00:00,2025-10-06 15:40:00+00:00,2025-10-06,2025-10,SPY,SCALP_Aplus_1_Mini_FVG_Retest_NY_Open,LONG,SCALP,A,670.74,671.25,657.3252,697.5696,111.0,120.0,0.02,-35.17000000000101,2000.0,-0.017585000000000506,2,-0.03517000000000101,-0.3593473999999842,loss,time_stop,ny,ny_open,0.5491420701460475,A,"{'A_plus': 0.6, 'A': 0.35, 'B': 0.25}",0-1,,,,,,,0.04919939171660908,-0.09578972478158204
9c71841a-585d-4dd5-b311-c691b88e13dd,2025-10-06 13:44:00+00:00,2025-10-06 15:44:00+00:00,2025-10-06,2025-10,SPY,Session_Open_Scalp,SHORT,SCALP,B,670.32,671.4,671.8153199999999,668.0770200000002,74.0,120.0,0.02,-141.7499999999946,2000.0,-0.0708749999999973,2,-0.1417499999999946,-0.5010973999999788,loss,time_stop,ny,ny_open,0.61,B,"{'A_plus': 0.75, 'A': 0.65, 'B': 0.55}",0-1,671.65,670.06,1.5900000000000318,NONE,15.0,2025-10-06,0.5784714977396672,-0.745659791884002
7770ded5-14fc-4789-9afb-322f5527abcd,2025-10-06 15:24:00+00:00,2025-10-06 15:51:00+00:00,2025-10-06,2025-10,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A,607.2,608.4144,608.4144,603.5568000000002,123.0,27.0,0.02,-241.4811999999945,1000.0,-0.24148119999999448,2,-0.24148119999999448,-0.7425785999999733,loss,SL,ny,none,0.725,A,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,608.6188,606.09,2.528799999999933,NONE,15.0,2025-10-06,0.11940052700930572,-1.0128458498023303
27f7568e-8d9f-4431-9beb-bf96ac23feda,2025-10-06 14:44:00+00:00,2025-10-06 15:57:00+00:00,2025-10-06,2025-10,SPY,Morning_Trap_Reversal,SHORT,DAILY,C,670.51,671.85102,671.85102,666.4869400000001,74.0,73.0,0.02,-161.09547999999688,2000.0,-0.08054773999999844,2,-0.16109547999999688,-0.9036740799999702,loss,SL,ny,ny_open,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.126769175702051,-1.0029678901135477
