trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r,tp_reason,structure_alignment_tf,structure_alignment_last_pivot_type
1f6523d0-968f-48d9-a9ed-380e9402db3e,2025-11-17 14:34:00+00:00,2025-11-17 14:46:00+00:00,2025-11-17,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A+,608.6113,611.1936113,611.1936113,606.467981621,164.0,12.0,0.02,-546.0590532000024,2000.0,-0.2730295266000012,2,-0.5460590532000024,-0.5460590532000024,loss,SL,ny,ny_open,0.82,A+,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.3296659082117762,-1.01021902355459,fixed_rr,,
7c674d7c-c727-43a6-b9cb-6280ae224247,2025-11-17 15:04:00+00:00,2025-11-17 16:14:00+00:00,2025-11-17,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,B,609.2,605.9719640000001,613.0892,605.9719640000001,81.0,70.0,0.02,200.16091599999794,1000.0,0.20016091599999794,2,0.20016091599999794,-0.3458981372000044,win,TP1,ny,ny_open,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,611.17,605.24,5.92999999999995,LONG,15.0,2025-11-17,0.8690733312763629,-0.2545510644862746,fixed_rr,,
2d78e443-bf08-4c86-a1fd-91067ca56bb8,2025-11-18 14:34:00+00:00,2025-11-18 14:34:00+00:00,2025-11-18,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,C,600.205,601.4054100000001,601.4054100000001,599.2086597,82.0,0.0,0.02,-159.81362000000274,1000.0,-0.15981362000000274,2,-0.15981362000000274,-0.5057117572000072,loss,SL,ny,ny_open,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.14578352396269886,-1.1621029481593312,fixed_rr,,
64478408-5c60-435d-9056-d8f2d97558df,2025-11-18 14:39:00+00:00,2025-11-18 14:43:00+00:00,2025-11-18,2025-11,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,663.14,662.335785,664.92314,661.6599937999999,74.0,4.0,0.02,-1.608090000000061,1000.0,-0.001608090000000061,2,-0.001608090000000061,-0.5073198472000072,loss,SL,ny,ny_open,0.525,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.8972935383649181,-0.386957838419896,fixed_rr,,
f95cb2d4-5bdf-4ba8-b1c0-b39f8b7fcec0,2025-11-19 16:04:00+00:00,2025-11-19 16:07:00+00:00,2025-11-19,2025-11,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,663.05,662.4662625,664.72305,661.6613685,74.0,3.0,0.02,-17.913425000001197,1000.0,-0.017913425000001197,2,-0.017913425000001197,-0.5252332722000084,loss,SL,ny,none,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,663.32,660.11,3.2100000000000364,LONG,15.0,2025-11-19,0.5989061892949757,-0.13747347658469242,fixed_rr,,
9c654bea-19f7-4618-9744-4c661b9ff811,2025-11-19 16:04:00+00:00,2025-11-19 16:27:00+00:00,2025-11-19,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,B,600.78,599.42302,605.39208,596.9519736,82.0,23.0,0.02,49.95236000000176,1000.0,0.049952360000001764,2,0.049952360000001764,-0.4752809122000066,win,SL,ny,none,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,600.6199,596.14,4.479900000000043,LONG,15.0,2025-11-19,0.5442229969991838,-0.0975698600197842,fixed_rr,,
68dbe3c3-4451-4881-8bbe-f7338d6d786c,2025-11-20 15:59:00+00:00,2025-11-20 16:02:00+00:00,2025-11-20,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,B,610.48,609.82762,612.75048,608.5955016,81.0,3.0,0.02,-8.71722000000051,1000.0,-0.00871722000000051,2,-0.00871722000000051,-0.48399813220000715,loss,SL,ny,ny_open,0.525,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,612.38,610.03,2.3500000000000227,LONG,15.0,2025-11-20,0.5373313132025018,-0.1629611359712489,fixed_rr,,
727db547-6ed9-4e05-af39-dcccb4fc2a17,2025-11-20 16:04:00+00:00,2025-11-20 16:22:00+00:00,2025-11-20,2025-11,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,671.7,667.9386890000002,676.2316999999999,667.9386890000002,73.0,18.0,0.02,213.6357029999901,1000.0,0.21363570299999007,2,0.21363570299999007,-0.2703624292000171,win,TP1,ny,none,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,674.15,672.47,1.67999999999995,LONG,15.0,2025-11-20,0.9091510912020009,-0.11033387029150483,fixed_rr,,
03ad7300-cdcf-44c1-ac8a-3c8cbc83f978,2025-11-21 14:59:00+00:00,2025-11-21 15:04:00+00:00,2025-11-21,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,B,586.892,585.226223,590.356892,584.0161396400001,84.0,5.0,0.02,78.58526800000405,1000.0,0.07858526800000405,2,0.07858526800000405,-0.19177716120001304,win,SL,ny,ny_open,0.6001521704485541,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,589.35,586.27,3.080000000000041,SHORT,15.0,2025-11-21,0.730758707630733,-0.3486400153309202,fixed_rr,,
acd220db-d9d0-4645-a689-072dc622e72d,2025-11-21 14:59:00+00:00,2025-11-21 15:04:00+00:00,2025-11-21,2025-11,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,654.52,653.8011300000001,657.1245200000001,652.3582483999999,75.0,5.0,0.02,-7.214750000005665,1000.0,-0.007214750000005665,2,-0.007214750000005665,-0.1989919112000187,loss,SL,ny,ny_open,0.5763156138286117,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,656.44,654.03,2.410000000000082,SHORT,15.0,2025-11-21,0.5260086311489086,-0.4568980080782685,fixed_rr,,
