trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
312db6c2-d75f-49ee-8f42-2133e49e655a,2025-08-18 13:34:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Morning_Trap_Reversal,LONG,DAILY,C,577.555,575.922445,575.922445,582.4526649999997,86.0,18.0,0.02,-202.17972999999236,2000.0,-0.10108986499999618,2,-0.20217972999999237,-0.20217972999999237,loss,SL,ny,ny_open,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.027564155572140116,-1.019873756167513
99003fb3-95a7-434e-8901-d0e760bd2094,2025-08-18 13:39:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Engulfing_Bar_V056,LONG,SCALP,A+,577.335,575.922665,575.922665,580.15967,173.0,13.0,0.02,-366.57395499999734,2000.0,-0.18328697749999867,2,-0.36657395499999734,-0.5687536849999897,loss,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.1309887526684161,-1.023128365437425
83188b5f-d0a4-405e-8df6-e3213270ba29,2025-08-18 14:19:00+00:00,2025-08-18 14:25:00+00:00,2025-08-18,2025-08,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A,576.5,577.724,577.724,574.664,128.0,6.0,0.02,-247.71200000000593,1000.0,-0.24771200000000593,2,-0.24771200000000593,-0.8164656849999956,loss,SL,ny,ny_open,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.032679738562060544,-1.0334967320260935
050c54a4-e76e-489a-ab42-b8925bb488ef,2025-08-18 14:24:00+00:00,2025-08-18 14:45:00+00:00,2025-08-18,2025-08,QQQ,Morning_Trap_Reversal,LONG,DAILY,C,577.595,575.922405,575.922405,582.612785,85.0,21.0,0.02,-203.2705750000001,1000.0,-0.2032705750000001,2,-0.2032705750000001,-1.0197362599999957,loss,SL,ny,ny_open,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.10163847195523061,-1.0074166190859462
51b85eed-b046-4e3a-adb8-060abf4d3e63,2025-08-18 13:34:00+00:00,2025-08-18 15:34:00+00:00,2025-08-18,2025-08,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,643.3999,642.7293,630.531902,669.1358960000001,155.0,120.0,0.02,-226.07300000000555,2000.0,-0.11303650000000277,2,-0.22607300000000555,-1.2458092600000013,loss,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.041583780165332686,-0.08547561166857835
7e839b4f-2415-4e97-a8c8-c5f1b341c105,2025-08-18 13:45:00+00:00,2025-08-18 15:45:00+00:00,2025-08-18,2025-08,SPY,BOS_Scalp_1m,LONG,SCALP,A+,643.54,642.925,630.6691999999999,662.8462,155.0,120.0,0.02,-217.4950000000014,2000.0,-0.1087475000000007,2,-0.2174950000000014,-1.4633042600000026,loss,time_stop,ny,ny_open,0.6967407421579481,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,643.585,642.795,0.7900000000000773,NONE,15.0,2025-08-18,0.030689623022654447,-0.09634210771669252
8c0f022c-286e-4e7c-b948-ff3608ac9af5,2025-08-18 13:51:00+00:00,2025-08-18 15:51:00+00:00,2025-08-18,2025-08,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,576.04,575.97,578.1760400000001,572.8359399999998,173.0,120.0,0.02,-110.00000000001101,2000.0,-0.05500000000000551,2,-0.11000000000001102,-1.5733042600000136,loss,time_stop,ny,ny_open,0.6921827548807112,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.3739630344000485,-0.8075691466451691
cb7b3208-7843-4e8f-afb1-5c09d3e6a1cc,2025-08-18 13:57:00+00:00,2025-08-18 15:57:00+00:00,2025-08-18,2025-08,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,576.02,575.93,578.17602,572.7859699999999,171.0,120.0,0.02,-105.32999999999456,1000.0,-0.10532999999999455,2,-0.10532999999999455,-1.6786342600000081,loss,time_stop,ny,ny_open,0.6458197531634202,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.3612211389504404,-0.8093616942328896
f98e4c20-35d8-4b53-bbfc-063e60bb9e0b,2025-08-18 16:19:00+00:00,2025-08-18 16:49:00+00:00,2025-08-18,2025-08,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,A,576.4191,575.65,575.2662617999999,578.1483573,125.0,30.0,0.02,-184.94749999999755,1000.0,-0.18494749999999754,2,-0.18494749999999754,-1.8635817600000057,loss,time_stop,ny,none,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.25233376201454283,-0.9360376850800987
5a5d386e-a93a-4725-b356-543693dd5c1f,2025-08-18 16:49:00+00:00,2025-08-18 17:19:00+00:00,2025-08-18,2025-08,QQQ,Liquidity_Sweep_Scalp,LONG,SCALP,A,575.65,576.32,572.77175,579.967375,125.0,30.0,0.02,-5.039999999990911,1000.0,-0.005039999999990911,2,-0.005039999999990911,-1.8686217599999966,loss,time_stop,ny,none,0.65,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,577.6,576.41,1.1900000000000546,SHORT,15.0,2025-08-18,0.24667766872232827,-0.10770433423085124
49a5df88-550f-49bb-a559-3f115c0293ca,2025-08-19 13:45:00+00:00,2025-08-19 14:56:00+00:00,2025-08-19,2025-08,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,573.97,572.3421910000001,576.94397,569.509045,167.0,71.0,0.02,154.46410299999275,1000.0,0.15446410299999275,2,0.15446410299999275,-1.7141576570000039,win,SL,ny,ny_open,0.7663670622395355,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,576.56,573.92,2.6399999999999864,NONE,15.0,2025-08-19,0.8473521925237897,-0.5245513572766172
dc48157a-a8fe-4601-a424-b196319c9b68,2025-08-19 13:39:00+00:00,2025-08-19 15:14:00+00:00,2025-08-19,2025-08,QQQ,Engulfing_Bar_V056,SHORT,SCALP,A+,574.71,571.579855,577.08971,569.9505800000002,167.0,95.0,0.02,405.35421500001405,1000.0,0.40535421500001406,2,0.40535421500001406,-1.3088034419999899,win,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,1.8153472481941808,-0.3739951506696244
64fada5c-953c-4c77-adda-06867fcd54c4,2025-08-19 13:50:00+00:00,2025-08-19 15:14:00+00:00,2025-08-19,2025-08,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,573.54,571.4680619999999,577.1335399999999,568.14969,167.0,84.0,0.02,228.7736460000076,1000.0,0.2287736460000076,2,0.2287736460000076,-1.0800297959999823,win,SL,ny,ny_open,0.7055441692430917,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.8765729614808826,-0.5537714899514212
1e9304f6-deb9-4f8b-9956-4b8149b4b7e8,2025-08-19 13:34:00+00:00,2025-08-19 15:26:00+00:00,2025-08-19,2025-08,QQQ,Engulfing_Bar_V056,SHORT,SCALP,A+,574.09,571.889545,577.0890899999999,568.0918200000002,167.0,112.0,0.02,250.1359850000056,1000.0,0.2501359850000056,2,0.2501359850000056,-0.8298938109999767,win,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,1.2337075579592998,-0.5034860574374348
591724aa-d6d1-4db8-86fb-880b6bcaefbb,2025-08-19 13:36:00+00:00,2025-08-19 15:36:00+00:00,2025-08-19,2025-08,SPY,BOS_Scalp_1m,LONG,SCALP,A+,642.44,641.32,629.5912000000001,661.7132,77.0,120.0,0.02,-147.81000000000034,1000.0,-0.14781000000000033,2,-0.14781000000000033,-0.977703810999977,loss,time_stop,ny,ny_open,0.5985765820933305,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.12958408567336763,-0.1533217109769029
a4c949fa-6557-43ed-aa2c-56d3e6353003,2025-08-19 16:24:00+00:00,2025-08-19 16:54:00+00:00,2025-08-19,2025-08,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A+,571.15,569.77,576.24115,563.513275,171.0,30.0,0.02,116.39999999999922,1000.0,0.11639999999999923,2,0.11639999999999923,-0.8613038109999778,win,time_stop,ny,none,0.79,A+,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.3417695412627833,-0.029462891488166353
51f7a887-8cf5-4104-b1c1-4a221db59eea,2025-08-19 16:29:00+00:00,2025-08-19 16:59:00+00:00,2025-08-19,2025-08,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A,570.84,569.6,574.4208399999999,565.4687400000003,128.0,30.0,0.02,68.75000000000117,1000.0,0.06875000000000117,2,0.06875000000000117,-0.7925538109999766,win,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.40772556160009843,-0.06143809832327684
643b70a1-2b80-4842-acae-ac909d7acbbf,2025-08-19 16:39:00+00:00,2025-08-19 17:09:00+00:00,2025-08-19,2025-08,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A,570.24,568.92,574.4202399999999,563.9696400000001,128.0,30.0,0.02,79.08000000000641,1000.0,0.07908000000000641,2,0.07908000000000641,-0.7134738109999702,win,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.3277323790021705,-0.0909038715480459
4ea99abe-9cf7-4690-9dc8-a4b3ec4cc2ad,2025-08-20 13:36:00+00:00,2025-08-20 13:46:00+00:00,2025-08-20,2025-08,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,566.84,564.8047400000002,568.19684,564.8047400000002,173.0,10.0,0.02,232.10997999997926,1000.0,0.23210997999997926,2,0.23210997999997926,-0.4813638309999909,win,TP1,ny,ny_open,0.6093690239532182,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,1.5403437398662738,-0.39798355001326274
9fa96858-05c6-47ba-8aea-3e4ee34b7084,2025-08-20 13:34:00+00:00,2025-08-20 13:49:00+00:00,2025-08-20,2025-08,QQQ,Engulfing_Bar_V056,SHORT,SCALP,A+,566.95,564.4561000000001,568.19695,564.4561000000001,173.0,15.0,0.02,311.4746999999895,1000.0,0.3114746999999895,2,0.3114746999999895,-0.16988913100000141,win,TP1,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,2.0770680460323945,-0.617506716387987
0304f1c0-bf89-4c35-9d5f-3d7ece82fb1c,2025-08-20 13:39:00+00:00,2025-08-20 13:51:00+00:00,2025-08-20,2025-08,QQQ,Engulfing_Bar_V056,SHORT,SCALP,A+,566.67,563.6166599999998,568.19667,563.6166599999998,173.0,12.0,0.02,408.387820000028,1000.0,0.408387820000028,2,0.408387820000028,0.23849868900002658,win,TP1,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,2.331872637832509,-0.40611265040904165
8f76c14c-1ee4-439e-a1b8-3bc626452a4c,2025-08-20 13:43:00+00:00,2025-08-20 13:51:00+00:00,2025-08-20,2025-08,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,566.25,563.330625,568.19625,563.330625,174.0,8.0,0.02,387.5212499999905,1000.0,0.3875212499999905,2,0.3875212499999905,0.6260199390000171,win,TP1,ny,ny_open,0.6648179766689428,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,1.6133590237636712,-0.34425176621706954
48079b3a-8acd-45d4-b6d5-5390f93b7eb5,2025-08-19 17:59:00+00:00,2025-08-20 14:06:00+00:00,2025-08-19,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A,570.2,561.1844000000002,573.2052,561.1844000000002,129.0,1207.0,0.02,1073.0423999999787,1000.0,1.0730423999999787,2,1.0730423999999787,1.6990623389999957,win,TP1,ny,none,0.785,A,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,3.0813257021163847,-0.043258352189537407
b7ab71bf-090e-4fec-bce8-d0c0d04fec3f,2025-08-20 13:42:00+00:00,2025-08-20 15:42:00+00:00,2025-08-20,2025-08,SPY,BOS_Scalp_1m,LONG,SCALP,A+,638.77,636.75,625.9946,657.9331,78.0,120.0,0.02,-219.50999999999857,1000.0,-0.21950999999999857,2,-0.21950999999999857,1.4795523389999972,loss,time_stop,ny,ny_open,0.6459609685016712,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.007827543560281699,-0.4555630352082863
f5032e72-618d-4eec-8035-d13ebd67e716,2025-08-20 16:14:00+00:00,2025-08-20 16:44:00+00:00,2025-08-20,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,A,636.32,637.015,634.28868,639.3669800000001,121.0,30.0,0.02,-10.765000000007703,1000.0,-0.010765000000007702,2,-0.010765000000007702,1.4687873389999895,loss,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,0.5689896225114558,-0.10835318905932925
7c048b29-0ba4-4a84-82c0-fe952d136cd5,2025-08-20 16:19:00+00:00,2025-08-20 16:49:00+00:00,2025-08-20,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,A+,636.755,636.63,624.0199,655.8576499999999,78.0,30.0,0.02,-71.61,1000.0,-0.07161,2,-0.07161,1.3971773389999895,loss,time_stop,ny,none,0.79,A+,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,0.05659947703591291,-0.023164325368466628
6aad1f75-19f8-4d5b-879d-4b28a6858efc,2025-08-20 16:44:00+00:00,2025-08-20 17:14:00+00:00,2025-08-20,2025-08,SPY,Liquidity_Sweep_Scalp,LONG,SCALP,A,637.015,636.49,634.9458850000001,640.1186724999998,121.0,30.0,0.02,-158.39499999999725,1000.0,-0.15839499999999726,2,-0.15839499999999726,1.2387823389999923,loss,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,0.058720757425264,-0.5243787802998336
c09d5e4e-d731-4a17-8d26-78d112f535c6,2025-08-20 15:39:00+00:00,2025-08-20 17:34:00+00:00,2025-08-20,2025-08,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,636.245,637.51749,637.51749,632.4275300000002,81.0,115.0,0.02,-167.2516899999958,1000.0,-0.1672516899999958,2,-0.1672516899999958,1.0715306489999965,loss,SL,ny,none,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,1.198437708744304,-1.0412655502205124
56eb4ee2-b765-4dd9-ab1f-122bb7eed73a,2025-08-20 19:39:00+00:00,2025-08-21 13:46:00+00:00,2025-08-20,2025-08,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,638.475,634.6441499999999,639.7519500000001,634.6441499999999,79.0,1087.0,0.02,240.0271500000133,1000.0,0.24002715000001332,2,0.24002715000001332,1.3115577990000098,win,TP1,ny,none,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,639.66,638.105,1.55499999999995,SHORT,15.0,2025-08-20,3.2616782176278587,-0.4581228709032436
b7d4e8c3-e33f-4fab-bdee-225b25c054c0,2025-08-21 13:34:00+00:00,2025-08-21 13:47:00+00:00,2025-08-21,2025-08,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A+,635.8972,634.8046091599999,637.5458972000001,633.4241541999997,160.0,13.0,0.02,50.294534400011315,1000.0,0.05029453440001132,2,0.05029453440001132,1.3618523334000212,win,SL,ny,ny_open,0.79,A+,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,,,,,,,0.9626995181407044,-0.36537940381043993
