trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
a1c417ab-00a1-4b11-bd54-567efc8a73a3,2025-10-06 13:35:00+00:00,2025-10-06 15:35:00+00:00,2025-10-06,2025-10,QQQ,BOS_Scalp_1m,LONG,SCALP,A+,607.33,607.45,602.59267,614.435995,164.0,120.0,0.02,-102.37999999999926,2000.0,-0.05118999999999963,2,-0.10237999999999926,-0.10237999999999926,loss,time_stop,ny,ny_open,0.5673646656226078,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.12876451503273112,-0.28708154171231504
e3ceaa9b-d8a1-4e3f-b776-55fb9e340b1a,2025-10-06 13:40:00+00:00,2025-10-06 15:40:00+00:00,2025-10-06,2025-10,QQQ,BOS_Scalp_1m,LONG,SCALP,A,607.41,607.45,602.5925900000001,614.6361149999998,123.0,120.0,0.02,-87.1399999999905,2000.0,-0.043569999999995244,2,-0.08713999999999049,-0.18951999999998975,loss,time_stop,ny,ny_open,0.4979947229088256,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,,,,,,,0.06642573499039066,-0.298915807456699
1fde54ac-f52c-4818-bb25-6ea401df9a60,2025-10-06 13:44:00+00:00,2025-10-06 15:44:00+00:00,2025-10-06,2025-10,QQQ,Engulfing_Bar_V056,LONG,SCALP,A+,606.66,607.578,602.59334,614.7933199999999,164.0,120.0,0.02,28.54200000000104,2000.0,0.01427100000000052,2,0.02854200000000104,-0.1609779999999887,win,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,608.6188,606.09,2.528799999999933,NONE,15.0,2025-10-06,0.2631151854347454,-0.16967240929901892
1af342d5-5e0f-4818-85f7-1f1ab3b67427,2025-10-06 13:45:00+00:00,2025-10-06 15:45:00+00:00,2025-10-06,2025-10,QQQ,BOS_Scalp_1m,LONG,SCALP,A+,606.84,607.7,602.59316,613.2102600000001,164.0,120.0,0.02,19.000000000002245,2000.0,0.009500000000001122,2,0.019000000000002244,-0.14197799999998648,win,time_stop,ny,ny_open,0.6452340504095528,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,608.6188,606.09,2.528799999999933,NONE,15.0,2025-10-06,0.2095675843686087,-0.20485820045021721
354f78ad-8208-4f46-8dbf-c878ec2f5ec7,2025-10-06 13:49:00+00:00,2025-10-06 15:49:00+00:00,2025-10-06,2025-10,SPY,Engulfing_Bar_V056,LONG,SCALP,A+,670.73,671.67,657.3154,697.5592000000001,149.0,120.0,0.02,17.5199999999912,2000.0,0.0087599999999956,2,0.0175199999999912,-0.12445799999999528,win,time_stop,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,671.65,670.06,1.5900000000000318,NONE,15.0,2025-10-06,0.07417291607651363,-0.09504569647995252
d53ea803-9f0b-40e3-b674-db5bd9b3ea7d,2025-10-06 14:44:00+00:00,2025-10-06 15:57:00+00:00,2025-10-06,2025-10,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,670.51,671.85102,671.85102,666.4869400000001,74.0,73.0,0.02,-161.09547999999688,2000.0,-0.08054773999999844,2,-0.16109547999999688,-0.28555347999999214,loss,SL,ny,ny_open,0.525,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.126769175702051,-1.0029678901135477
19264a5e-ae15-4cc9-b63a-7fe00350277d,2025-10-06 16:09:00+00:00,2025-10-06 16:39:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A,671.59,671.51,672.93318,669.5752300000001,111.0,30.0,0.02,-82.95999999999546,1000.0,-0.08295999999999545,2,-0.08295999999999545,-0.3685134799999876,loss,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.2220849029914448,-0.20473800979763337
c1fd9af5-5771-4305-9987-7b75d6a7e4b5,2025-10-06 16:34:00+00:00,2025-10-06 17:04:00+00:00,2025-10-06,2025-10,QQQ,Liquidity_Sweep_Scalp,SHORT,SCALP,A,608.015,608.065,611.0550749999999,603.4548875000002,122.0,30.0,0.02,-97.52000000000834,1000.0,-0.09752000000000834,2,-0.09752000000000834,-0.46603347999999595,loss,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,608.6188,606.09,2.528799999999933,NONE,15.0,2025-10-06,0.060853761831518055,-0.07072193942584962
0bdfa4a3-0cc1-4576-be7c-c31665556db3,2025-10-06 16:34:00+00:00,2025-10-06 17:04:00+00:00,2025-10-06,2025-10,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A,671.545,671.645,672.8880899999999,669.5303650000001,111.0,30.0,0.02,-102.96000000000254,1000.0,-0.10296000000000254,2,-0.10296000000000254,-0.5689934799999985,loss,time_stop,ny,none,0.7300000000000001,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,671.65,670.06,1.5900000000000318,SHORT,15.0,2025-10-06,0.13774207238528377,-0.17377837672835103
37249144-21ab-4e7c-b9eb-6882772df3f2,2025-10-07 13:39:00+00:00,2025-10-07 14:09:00+00:00,2025-10-07,2025-10,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A+,672.72,672.0856,676.0835999999999,667.6746000000002,146.0,30.0,0.02,-27.697599999995944,1000.0,-0.027697599999995944,2,-0.027697599999995944,-0.5966910799999945,loss,time_stop,ny,ny_open,0.79,A+,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,,,,,,,0.28525984064694826,-0.07135212272565579
