trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r
e0df13da-43f9-48be-baca-2242215b7bd9,2025-11-17 14:30:00+00:00,2025-11-17 14:34:00+00:00,2025-11-17,2025-11,SPY,News_Fade,SHORT,DAILY,A,669.115,670.519115,670.519115,664.9026549999999,112.0,4.0,0.02,-249.68088000000526,2000.0,-0.12484044000000263,2,-0.24968088000000527,-0.24968088000000527,loss,SL,ny,ny_open,0.8125,A,"{'A_plus': 0.85, 'A': 0.75, 'B': 0.65}",0-1,,,,,,,0.13887751359400297,-1.4421895642450293
be86bd3d-80f7-4c09-90e8-157a8556b5df,2025-11-17 14:34:00+00:00,2025-11-17 14:46:00+00:00,2025-11-17,2025-11,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A+,608.6113,611.1936113,611.1936113,600.8643661,164.0,12.0,0.02,-546.0590532000024,2000.0,-0.2730295266000012,2,-0.5460590532000024,-0.7957399332000077,loss,SL,ny,ny_open,0.82,A+,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.3296659082117762,-1.01021902355459
6d215559-d450-4595-baa7-bfe496c5f593,2025-11-17 14:44:00+00:00,2025-11-17 14:51:00+00:00,2025-11-17,2025-11,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A,671.985,673.3319849999999,673.3319849999999,669.9645225000002,111.0,7.0,0.02,-241.51533499998936,1000.0,-0.24151533499998937,2,-0.24151533499998937,-1.0372552681999971,loss,SL,ny,ny_open,0.7434513224530693,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,672.67,668.92,3.75,NONE,15.0,2025-11-17,0.10764782087402022,-1.1767020419679128
9ba1d9b8-8480-4832-a558-eff79d5eb70c,2025-11-17 14:39:00+00:00,2025-11-17 15:05:00+00:00,2025-11-17,2025-11,SPY,Session_Open_Scalp,SHORT,SCALP,B,672.62,671.793572,673.96524,670.60214,73.0,26.0,0.02,-0.8107560000025984,1000.0,-0.0008107560000025984,2,-0.0008107560000025984,-1.0380660241999997,loss,SL,ny,ny_open,0.61,B,"{'A_plus': 0.75, 'A': 0.65, 'B': 0.55}",0-1,,,,,,,0.914334988552249,-0.8102643394487528
1ce85e58-997e-4454-886e-225cff2caf48,2025-11-17 14:49:00+00:00,2025-11-17 15:05:00+00:00,2025-11-17,2025-11,QQQ,BOS_Scalp_1m,SHORT,SCALP,A,611.63,609.747445,614.68815,607.0427750000001,120.0,16.0,0.02,135.57660000000297,1000.0,0.13557660000000296,2,0.13557660000000296,-0.9024894241999968,win,SL,ny,ny_open,0.3180281764959785,A,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,611.17,605.24,5.92999999999995,LONG,15.0,2025-11-17,0.9155862204273811,-0.27794581691546694
b6f701ed-d1e6-418f-80d2-2229a137f666,2025-11-17 14:54:00+00:00,2025-11-17 15:05:00+00:00,2025-11-17,2025-11,QQQ,BOS_Scalp_1m,SHORT,SCALP,A+,612.0801,609.74812015,615.1405004999999,607.4894992500001,159.0,11.0,0.02,251.71479615000618,1000.0,0.2517147961500062,2,0.2517147961500062,-0.6507746280499906,win,SL,ny,ny_open,0.6648175292013873,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,611.17,605.24,5.92999999999995,LONG,15.0,2025-11-17,1.061985187886383,-0.13066917222109176
d7255cb0-1031-4e51-81a5-becdee5b9ace,2025-11-17 14:59:00+00:00,2025-11-17 15:11:00+00:00,2025-11-17,2025-11,QQQ,Engulfing_Bar_V056,SHORT,SCALP,A+,611.17,609.347925,614.2258499999999,605.0583,160.0,12.0,0.02,171.84199999998833,1000.0,0.17184199999998834,2,0.17184199999998834,-0.4789326280500023,win,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,611.17,605.24,5.92999999999995,LONG,15.0,2025-11-17,1.0962579969566402,-0.13416888917979833
8b705f45-a137-4c77-b720-14708f2fa5a4,2025-11-17 15:04:00+00:00,2025-11-17 15:34:00+00:00,2025-11-17,2025-11,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A,671.56,670.98,674.38156,667.3276599999998,109.0,30.0,0.02,-26.97000000000793,1000.0,-0.02697000000000793,2,-0.02697000000000793,-0.5059026280500102,loss,time_stop,ny,ny_open,0.71,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17,0.40048767348557507,-0.2870752349764078
6c85a79b-a059-4ef8-bf40-f7e24ab4e7e7,2025-11-17 15:09:00+00:00,2025-11-17 15:39:00+00:00,2025-11-17,2025-11,SPY,Liquidity_Sweep_Scalp,SHORT,SCALP,A,670.875,670.59,672.760875,668.0461874999999,110.0,30.0,0.02,-59.58000000000351,1000.0,-0.059580000000003505,2,-0.059580000000003505,-0.5654826280500137,loss,time_stop,ny,ny_open,0.71,A,"{'A_plus': 0.75, 'A': 0.6, 'B': 0.45}",0-1,672.67,668.92,3.75,LONG,15.0,2025-11-17,0.23596473785380098,-0.7927354676211099
539aa569-6e58-450f-82b2-9b953a6cbcba,2025-11-17 15:04:00+00:00,2025-11-17 16:27:00+00:00,2025-11-17,2025-11,QQQ,Engulfing_Bar_V056,SHORT,SCALP,A+,609.2,606.9846,613.0892,601.4216000000001,160.0,83.0,0.02,235.18400000000722,1000.0,0.23518400000000722,2,0.23518400000000722,-0.3302986280500065,win,SL,ny,ny_open,1.0,A+,"{'A_plus': 0.5, 'A': 0.01, 'B': 0.0}",0-1,611.17,605.24,5.92999999999995,LONG,15.0,2025-11-17,1.0696287154170845,-0.2545510644862746
